Promedio,Fallas,Horas_Estudio,Internet,Trabaja,Deserta
2.5,18,1,No,Si,1
3.8,4,5,Si,No,0
4.2,1,6,Si,No,0
2.8,15,1,No,Si,1
3.6,5,4,Si,No,0
2.7,17,1,No,Si,1
4.5,0,7,Si,No,0
3.1,10,2,Si,Si,1
4.0,2,5,Si,No,0
2.4,20,0,No,Si,1
3.9,3,5,Si,No,0
2.6,16,1,No,Si,1
4.3,1,6,Si,No,0
3.4,7,3,Si,Si,0
2.9,14,2,No,Si,1
4.1,2,5,Si,No,0
3.7,4,4,Si,No,0
2.3,19,0,No,Si,1
3.0,11,2,Si,Si,1
4.4,0,7,Si,No,0
3.5,6,4,Si,No,0
2.8,13,1,No,Si,1
4.0,2,6,Si,No,0
3.2,9,3,Si,Si,0
2.5,18,1,No,Si,1
4.6,0,8,Si,No,0
3.8,3,5,Si,No,0
2.7,15,1,No,Si,1
3.3,8,3,Si,Si,0
4.1,1,6,Si,No,0
2.2,21,0,No,Si,1
3.6,5,4,Si,No,0
2.9,12,2,No,Si,1
4.3,1,7,Si,No,0
3.1,10,2,Si,Si,1
4.5,0,8,Si,No,0
2.6,17,1,No,Si,1
3.7,4,5,Si,No,0
3.0,9,2,Si,Si,1
4.2,1,6,Si,No,0
2.4,20,0,No,Si,1
3.5,6,4,Si,No,0
2.8,14,1,No,Si,1
4.4,0,7,Si,No,0
3.3,8,3,Si,Si,0
2.7,16,1,No,Si,1
3.9,2,5,Si,No,0
4.1,1,6,Si,No,0
2.5,19,0,No,Si,1
3.6,5,4,Si,No,0
